,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p27-0023-0086-0013,0,252.0,31,17.982334346052202,17.982334346052202,31.593625338242887,23.43350609491007,17.852874755859375,39.17785289552477,39.17785289552477,3.8474567267149387,3.8474567267149387
p27-0023-0086-0044,1,255.0,35,21.15166159798117,21.15166159798117,29.31668883970002,24.21003357129174,21.251331329345703,37.689748758073144,35.91608480565688,5.144396487726582,5.493502570542635
p27-0023-0079-0076,2,115.0,16,17.99058479226154,17.99058479226154,24.9075921517702,20.774886599501635,18.345048904418945,35.25094133412061,33.40251062641973,5.496945309712263,6.198748966759963
p27-0023-0082-0110,3,150.0,20,29.80740933736165,29.80740933736165,38.009848130379574,33.57442847714868,29.62148666381836,29.76503876817911,33.72888427734375,4.286497948255678,5.334990041231116
p27-0023-0080-0141,4,115.0,17,26.816772651672363,26.816772651672363,37.61500365086348,31.791047578000946,26.722076416015625,32.39116903782883,32.394944290492845,4.648747155159814,5.207899691488432
p27-0023-0079-0174,5,154.0,20,30.387390712638954,30.387390712638954,41.5042217740971,34.54179745196313,31.210735321044922,31.927624479259325,36.228998171818716,5.69292600119078,7.884971630070116
p27-0023-0082-0205,6,154.0,20,35.270908368098276,35.270908368098276,44.294456096010904,40.214396474344504,34.910385131835945,32.280111478709415,36.887314282454454,5.748872281934909,7.700077210637656
p27-0023-0082-0238,7,112.0,17,29.00919018472944,29.00919018472944,37.51629253098445,33.05454991245248,29.359235763549805,34.46975424402228,33.12144410610199,7.9598865577889315,8.72007139865309
p27-0023-0082-0270,8,143.0,19,33.30564426875615,33.30564426875615,40.839566900244996,37.04247915556513,33.501258850097656,30.414337944998188,32.702845286656085,8.58224572994362,11.192033369641203
p27-0023-0082-0302,9,143.0,19,28.940468241284776,28.940468241284776,40.15516980241709,33.508621063896,28.130107879638672,34.93444823993,32.94328894981971,9.179480926525638,10.148599037653083
p27-0023-0083-0334,10,156.0,20,38.10875187164697,38.10875187164697,47.9401867902096,41.892485512287934,38.11378479003906,31.733198103247794,35.16560965317946,10.486323918832866,13.873030949189946
p27-0023-0082-0365,11,141.0,19,37.374166678029596,37.374166678029596,44.55110500769638,40.003812751935904,37.04273986816406,29.696163049192016,30.075582240490203,11.125969476193678,12.733346895572353
p27-0023-0082-0397,12,136.0,19,33.646141487009395,33.646141487009395,42.34655666373146,38.11513999158388,33.40397262573242,29.603085991777697,27.473643765730014,12.066627223636802,12.521598155445911
p27-0023-0083-0429,13,102.0,15,36.73353567310408,36.73353567310408,43.063857468185724,39.33257713675853,36.6200065612793,29.950158656090004,27.03131711249258,11.902652364755836,12.120930910110474
p27-0023-0081-0462,14,115.0,17,35.36890812749448,35.36890812749448,47.55850379334404,39.200962310253175,34.79230499267578,26.022603199762923,23.709445530435314,14.096722368583242,13.643572533648946
p27-0023-0082-0493,15,95.0,16,35.25140541478207,35.25140541478207,45.985706616604894,38.220431852788174,34.672550201416016,26.673679270889355,23.57809624922903,15.71436185458173,14.353552466944645
p27-0023-0080-0526,16,100.0,17,40.79137865066528,40.79137865066528,53.250845039701204,46.74907261033603,40.76503372192383,23.913903957199558,21.29535801887512,14.070417174522102,13.66157241483219
p27-0023-0081-0557,17,121.0,18,48.25422889141997,48.25422889141997,55.823914897881146,51.61882119103464,47.65758514404297,27.548491583731618,28.263045381908576,15.786195131009885,17.27811120955412
p27-0023-0085-0590,18,140.0,17,43.87424176079885,43.87424176079885,53.29032948765282,46.985979298045685,43.84152221679688,27.335010301752625,24.647344827651978,15.487474313981496,14.374352288246154
p27-0023-0083-0621,19,104.0,15,42.1944347344912,42.1944347344912,52.46773682199426,47.637472689247254,42.550559997558594,24.552403088630907,21.96713700202795,17.359292653992465,17.187716262988168
p27-0023-0084-0653,20,128.0,17,39.73540917038917,39.73540917038917,50.21054254742722,44.893303556610334,39.99000930786133,24.375894436517363,20.962392341345552,16.87233820502855,14.950847364496438
p27-0023-0085-0685,21,91.0,15,45.631722272097406,45.631722272097406,54.086599188010304,50.40796478718525,46.0798454284668,25.348027294895385,23.864237009823977,18.577935928469156,18.370129202748394
p27-0023-0086-0717,22,130.0,20,48.93559109614446,48.93559109614446,58.739183304975064,53.165295402472715,48.73629760742188,24.33039879408207,24.35549679536086,17.882338826118893,17.2234966644874
p27-0023-0087-0751,23,139.0,16,48.5245052035764,48.5245052035764,57.528326901125666,51.849147137419045,48.68224334716797,22.764062891303226,22.956372199298663,18.75641247651228,18.745048564115017
p27-0023-0088-0781,24,136.0,17,49.86922160316916,49.86922160316916,57.64019950365521,53.29691022897808,50.37344360351562,22.26578514631489,21.875539751613847,17.9493384091373,17.84334164507249
p27-0023-0087-0813,25,238.0,30,42.82999169325628,42.82999169325628,54.830222957765635,46.7556533516613,42.85056686401367,18.808421753026455,17.86332037523702,18.50190049395984,16.917517919500337
p27-0023-0087-0846,26,264.0,29,39.851131236914426,39.851131236914426,49.99995882501861,43.70877011806202,39.953468322753906,18.755602452899936,17.629980384400394,16.464496070212466,14.728535616939716
